order_id,payment_id,customer_reference,amount,currency,transaction_date,status,refund_amount
ORD0001,PAY0001,CUST-ORD0001-6155,10944.0,INR,2024-07-31,SUCCESS,0.0
ORD0002,PAY0002,CUST-ORD0002-8517,32944.0,INR,2024-07-13,SUCCESS,0.0
ORD0003,PAY0003,CUST-ORD0003-9830,13612.0,INR,2024-07-08,SUCCESS,0.0
ORD0004,PAY0004,CUST-ORD0004-7543,37477.0,INR,2024-07-14,REFUNDED,37477.0
ORD0005,PAY0005,CUST-ORD0005-9348,49868.0,INR,2024-07-05,SUCCESS,0.0
ORD0006,PAY0006,CUST-ORD0006-2796,5000.0,INR,2024-07-02,SUCCESS,0.0
ORD0007,PAY0007,CUST-ORD0007-7916,31559.0,INR,2024-07-26,FAILED,0.0
ORD0008,PAY0008,CUST-ORD0008-7252,30022.0,INR,2024-07-13,SUCCESS,0.0
ORD0009,PAY0009,CUST-ORD0009-1188,49808.0,INR,2024-07-17,PARTIALLY_REFUNDED,11242.0
ORD0010,PAY0010,CUST-ORD0010-5371,34245.0,INR,2024-07-18,SUCCESS,0.0
ORD0011,PAY0011,CUST-ORD0011-8123,17339.0,INR,2024-07-10,SUCCESS,0.0
ORD0012,PAY0012,CUST-ORD0012-5315,22959.0,INR,2024-07-31,REFUNDED,22959.0
ORD0013,PAY0013,CUST-ORD0013-5889,25630.0,INR,2024-07-04,SUCCESS,0.0
ORD0014,PAY0014,CUST-ORD0014-3504,25629.0,INR,2024-07-07,SUCCESS,0.0
ORD0015,PAY0015,CUST-ORD0015-9689,38244.0,INR,2024-07-18,SUCCESS,0.0
ORD0016,PAY0016,CUST-ORD0016-1319,30148.0,INR,2024-07-16,SUCCESS,0.0
ORD0017,PAY0017,CUST-ORD0017-6038,46490.0,INR,2024-07-29,SUCCESS,0.0
ORD0018,PAY0018,CUST-ORD0018-2290,3367.0,INR,2024-07-29,SUCCESS,0.0
ORD0019,PAY0019,CUST-ORD0019-2133,36729.0,INR,2024-07-27,SUCCESS,0.0
ORD0020,PAY0020,CUST-ORD0020-3705,38409.0,INR,2024-07-05,SUCCESS,0.0
ORD0021,PAY0021,CUST-ORD0021-7932,26620.0,INR,2024-07-20,SUCCESS,0.0
ORD0022,PAY0022,CUST-ORD0022-4295,46481.0,INR,2024-07-25,SUCCESS,0.0
ORD0023,PAY0023,CUST-ORD0023-7118,15930.0,INR,2024-07-22,SUCCESS,0.0
ORD0024,PAY0024,CUST-ORD0024-8397,22186.0,INR,2024-07-17,SUCCESS,0.0
ORD0025,PAY0025,CUST-ORD0025-6539,12771.0,INR,2024-07-03,SUCCESS,0.0
ORD0026,PAY0026,CUST-ORD0026-4608,29621.0,INR,2024-07-08,SUCCESS,0.0
ORD0027,PAY0027,CUST-ORD0027-1964,4014.0,INR,2024-07-21,SUCCESS,0.0
ORD0028,PAY0028,CUST-ORD0028-6413,3836.0,INR,2024-07-02,SUCCESS,0.0
ORD0029,PAY0029,CUST-ORD0029-8953,25951.0,INR,2024-07-09,SUCCESS,0.0
ORD0030,PAY0030,CUST-ORD0030-8744,27192.0,INR,2024-07-24,SUCCESS,0.0
ORD0031,PAY0031,CUST-ORD0031-7669,12528.0,INR,2024-07-16,REFUNDED,12528.0
ORD0032,PAY0032,CUST-ORD0032-6804,5298.0,INR,2024-07-14,SUCCESS,0.0
ORD0033,PAY0033,CUST-ORD0033-1887,20850.0,INR,2024-07-28,SUCCESS,0.0
ORD0034,PAY0034,CUST-ORD0034-2612,32846.0,INR,2024-07-21,SUCCESS,0.0
ORD0035,PAY0035,CUST-ORD0035-2790,20430.0,INR,2024-07-11,SUCCESS,0.0
ORD0036,PAY0036,CUST-ORD0036-7912,9984.0,INR,2024-07-18,SUCCESS,0.0
ORD0037,PAY0037,CUST-ORD0037-2235,14288.0,INR,2024-07-08,SUCCESS,0.0
ORD0038,PAY0038,CUST-ORD0038-2604,40497.0,INR,2024-07-28,SUCCESS,0.0
ORD0039,PAY0039,CUST-ORD0039-1241,32781.0,INR,2024-07-18,SUCCESS,0.0
ORD0040,PAY0040,CUST-ORD0040-4872,46355.0,INR,2024-07-28,REFUNDED,46355.0
ORD0041,PAY0041,CUST-ORD0041-1960,24539.0,INR,2024-07-07,SUCCESS,0.0
ORD0042,PAY0042,CUST-ORD0042-5345,19259.0,INR,2024-07-13,SUCCESS,0.0
ORD0043,PAY0043,CUST-ORD0043-8973,14620.0,INR,2024-07-23,SUCCESS,0.0
ORD0044,PAY0044,CUST-ORD0044-9883,9900.0,INR,2024-07-07,SUCCESS,0.0
ORD0045,PAY0045,CUST-ORD0045-8811,37525.0,INR,2024-07-02,SUCCESS,0.0
ORD0046,PAY0046,CUST-ORD0046-3579,46010.0,INR,2024-07-17,SUCCESS,0.0
ORD0047,PAY0047,CUST-ORD0047-4044,48059.0,INR,2024-07-03,SUCCESS,0.0
ORD0048,PAY0048,CUST-ORD0048-4853,29954.0,INR,2024-07-22,SUCCESS,0.0
ORD0049,PAY0049,CUST-ORD0049-5033,6434.0,INR,2024-07-29,REFUNDED,6434.0
ORD0050,PAY0050,CUST-ORD0050-7868,2467.0,INR,2024-07-03,SUCCESS,0.0
ORD0051,PAY0051,CUST-ORD0051-9565,33040.0,INR,2024-07-19,SUCCESS,0.0
ORD0052,PAY0052,CUST-ORD0052-6147,46768.0,INR,2024-07-07,SUCCESS,0.0
ORD0053,PAY0053,CUST-ORD0053-5915,13648.0,INR,2024-07-05,FAILED,0.0
ORD0054,PAY0054,CUST-ORD0054-2188,23133.0,INR,2024-07-30,SUCCESS,0.0
ORD0055,PAY0055,CUST-ORD0055-2200,23185.0,INR,2024-07-19,PARTIALLY_REFUNDED,13866.0
ORD0056,PAY0056,CUST-ORD0056-2127,25541.0,INR,2024-07-05,SUCCESS,0.0
ORD0057,PAY0057,CUST-ORD0057-8179,18792.0,INR,2024-07-06,SUCCESS,0.0
ORD0058,PAY0058,CUST-ORD0058-9666,35325.0,INR,2024-07-20,SUCCESS,0.0
ORD0059,PAY0059,CUST-ORD0059-2697,33559.0,INR,2024-07-18,SUCCESS,0.0
ORD0060,PAY0060,CUST-ORD0060-2753,13591.0,INR,2024-07-29,SUCCESS,0.0
ORD0061,PAY0061,CUST-ORD0061-5616,27885.0,INR,2024-07-09,SUCCESS,0.0
ORD0062,PAY0062,CUST-ORD0062-4335,10926.0,INR,2024-07-11,REFUNDED,10926.0
ORD0063,PAY0063,CUST-ORD0063-1832,25518.0,INR,2024-07-09,REFUNDED,25518.0
ORD0064,PAY0064,CUST-ORD0064-1058,41553.0,INR,2024-07-02,SUCCESS,0.0
ORD0065,PAY0065,CUST-ORD0065-5291,38670.0,INR,2024-07-21,SUCCESS,0.0
ORD0066,PAY0066,CUST-ORD0066-8007,37191.0,INR,2024-07-18,SUCCESS,0.0
ORD0067,PAY0067,CUST-ORD0067-3442,979.0,INR,2024-07-03,SUCCESS,0.0
ORD0068,PAY0068,CUST-ORD0068-3426,2283.0,INR,2024-07-12,SUCCESS,0.0
ORD0069,PAY0069,CUST-ORD0069-6974,6809.0,INR,2024-07-10,SUCCESS,0.0
ORD0070,PAY0070,CUST-ORD0070-5088,44997.0,INR,2024-07-07,SUCCESS,0.0
ORD0071,PAY0071,CUST-ORD0071-7658,5588.0,INR,2024-07-25,FAILED,0.0
ORD0072,PAY0072,CUST-ORD0072-3532,48705.0,INR,2024-07-24,SUCCESS,0.0
ORD0073,PAY0073,CUST-ORD0073-3900,43298.0,INR,2024-07-26,SUCCESS,0.0
ORD0074,PAY0074,CUST-ORD0074-6442,1727.0,INR,2024-07-24,SUCCESS,0.0
ORD0075,PAY0075,CUST-ORD0075-5065,40211.0,INR,2024-07-28,SUCCESS,0.0
ORD0076,PAY0076,CUST-ORD0076-2771,8380.0,INR,2024-07-23,SUCCESS,0.0
ORD0077,PAY0077,CUST-ORD0077-8711,43672.0,INR,2024-07-28,SUCCESS,0.0
ORD0078,PAY0078,CUST-ORD0078-8541,10379.0,INR,2024-07-30,SUCCESS,0.0
ORD0079,PAY0079,CUST-ORD0079-4728,15607.0,INR,2024-07-26,SUCCESS,0.0
ORD0080,PAY0080,CUST-ORD0080-7528,1671.0,INR,2024-07-07,SUCCESS,0.0
ORD0081,PAY0081,CUST-ORD0081-5573,14291.0,INR,2024-07-03,SUCCESS,0.0
ORD0082,PAY0082,CUST-ORD0082-9785,32253.0,INR,2024-07-13,SUCCESS,0.0
ORD0083,PAY0083,CUST-ORD0083-5279,46992.0,INR,2024-07-04,SUCCESS,0.0
ORD0084,PAY0084,CUST-ORD0084-1626,29239.0,INR,2024-07-09,SUCCESS,0.0
ORD0085,PAY0085,CUST-ORD0085-6139,30030.0,INR,2024-07-12,SUCCESS,0.0
ORD0086,PAY0086,CUST-ORD0086-2894,30507.0,INR,2024-07-17,FAILED,0.0
ORD0087,PAY0087,CUST-ORD0087-4114,19567.0,INR,2024-07-19,SUCCESS,0.0
