settlement_id,payment_id,order_id,event_type,gross_amount,fee,tax,refund_amount,adjustment_amount,net_amount,settlement_date
STL0001,PAY0001,ORD0001,PAYMENT,9723.08,194.46,35.0,0.0,0.0,9493.62,2024-08-01
STL0002,PAY0002,ORD0002,PAYMENT,31151.57,623.03,112.15,0.0,0.0,30416.39,2024-07-14
STL0003,PAY0003,ORD0003,PAYMENT,13612.0,272.24,49.0,0.0,0.0,13290.76,2024-07-10
STL0004,PAY0004,ORD0004,PAYMENT,37477.0,749.54,134.92,0.0,0.0,36592.54,2024-07-16
STL0005,PAY0004,ORD0004,REFUND,0.0,0.0,0.0,37477.0,0.0,-37477.0,2024-07-18
STL0006,PAY0005,ORD0005,PAYMENT,49868.0,997.36,179.52,0.0,0.0,48691.12,2024-07-07
STL0007,PAY0006,ORD0006,PAYMENT,5000.0,100.0,18.0,0.0,0.0,4882.0,2024-07-03
STL0008,PAY0008,ORD0008,PAYMENT,30022.0,600.44,108.08,0.0,0.0,29313.48,2024-07-16
STL0009,PAY0009,ORD0009,PAYMENT,49808.0,996.16,179.31,0.0,0.0,48632.53,2024-07-20
STL0010,PAY0009,ORD0009,REFUND,0.0,0.0,0.0,11242.0,0.0,-11242.0,2024-07-21
STL0011,PAY0010,ORD0010,PAYMENT,34245.0,684.9,123.28,0.0,0.0,33436.82,2024-07-21
STL0012,PAY0011,ORD0011,PAYMENT,17339.0,346.78,62.42,0.0,0.0,16929.8,2024-07-11
STL0013,PAY0012,ORD0012,PAYMENT,22959.0,459.18,82.65,0.0,0.0,22417.17,2024-08-03
STL0014,PAY0012,ORD0012,REFUND,0.0,0.0,0.0,22959.0,0.0,-22959.0,2024-08-05
STL0015,PAY0013,ORD0013,PAYMENT,25630.0,512.6,92.27,0.0,0.0,25025.13,2024-07-07
STL0016,PAY0014,ORD0014,PAYMENT,25629.0,512.58,92.26,0.0,0.0,25024.16,2024-07-09
STL0017,PAY0015,ORD0015,PAYMENT,38244.0,764.88,137.68,0.0,0.0,37341.44,2024-07-19
STL0018,PAY0016,ORD0016,PAYMENT,30148.0,602.96,108.53,0.0,0.0,29436.51,2024-07-17
STL0019,PAY0017,ORD0017,PAYMENT,46490.0,929.8,167.36,0.0,0.0,45392.84,2024-07-30
STL0020,PAY0018,ORD0018,PAYMENT,3367.0,67.34,12.12,0.0,0.0,3287.54,2024-07-30
STL0021,PAY0019,ORD0019,PAYMENT,36729.0,734.58,132.22,0.0,0.0,35862.2,2024-07-30
STL0022,PAY0020,ORD0020,PAYMENT,38409.0,768.18,138.27,0.0,0.0,37155.66,2024-07-07
STL0023,PAY0021,ORD0021,PAYMENT,26620.0,532.4,95.83,0.0,0.0,25991.77,2024-07-21
STL0024,PAY0021,ORD0021,PAYMENT,26620.0,532.4,95.83,0.0,0.0,25991.77,2024-07-21
STL0025,PAY0022,ORD0022,PAYMENT,46481.0,1394.43,251.0,0.0,0.0,44835.57,2024-07-28
STL0026,PAY0024,ORD0024,PAYMENT,22186.0,443.72,79.87,0.0,0.0,21662.41,2024-07-18
STL0027,PAY0025,ORD0025,PAYMENT,12771.0,255.42,45.98,0.0,0.0,12469.6,2024-07-04
STL0028,PAY0026,ORD0026,PAYMENT,29621.0,592.42,106.64,0.0,0.0,28921.94,2024-07-09
STL0029,PAY0027,ORD0027,PAYMENT,4014.0,80.28,14.45,0.0,0.0,3919.27,2024-07-22
STL0030,PAY0028,ORD0028,PAYMENT,3836.0,76.72,13.81,0.0,0.0,3745.47,2024-07-04
STL0031,PAY0029,ORD0029,PAYMENT,25951.0,519.02,93.42,0.0,0.0,25338.56,2024-07-10
STL0032,PAY0031,ORD0031,PAYMENT,12528.0,250.56,45.1,0.0,0.0,12232.34,2024-07-17
STL0033,PAY0031,ORD0031,REFUND,0.0,0.0,0.0,12528.0,0.0,-12528.0,2024-07-18
STL0034,PAY0032,ORD0032,PAYMENT,5298.0,105.96,19.07,0.0,0.0,5172.97,2024-07-16
STL0035,PAY0033,ORD0033,PAYMENT,20850.0,417.0,75.06,0.0,0.0,20357.94,2024-07-31
STL0036,PAY0034,ORD0034,PAYMENT,32846.0,656.92,118.25,0.0,0.0,32070.83,2024-07-22
STL0037,PAY0035,ORD0035,PAYMENT,20430.0,408.6,73.55,0.0,0.0,19947.85,2024-07-12
STL0038,PAY0036,ORD0036,PAYMENT,8976.5,179.53,32.32,0.0,0.0,8764.65,2024-07-19
STL0039,PAY0037,ORD0037,PAYMENT,14288.0,285.76,51.44,0.0,0.0,13950.8,2024-07-10
STL0040,PAY0038,ORD0038,PAYMENT,40497.0,809.94,145.79,0.0,0.0,39541.27,2024-07-29
STL0041,PAY0039,ORD0039,PAYMENT,32781.0,655.62,118.01,0.0,0.0,32007.37,2024-07-19
STL0042,PAY0040,ORD0040,PAYMENT,46355.0,927.1,166.88,0.0,0.0,45261.02,2024-07-29
STL0043,PAY0040,ORD0040,REFUND,0.0,0.0,0.0,46355.0,0.0,-46355.0,2024-08-02
STL0044,PAY0041,ORD0041,PAYMENT,24539.0,490.78,88.34,0.0,0.0,23520.79,2024-07-08
STL0045,PAY0042,ORD0042,PAYMENT,19259.0,385.18,69.33,0.0,0.0,18804.49,2024-07-18
STL0046,PAY0043,ORD0043,PAYMENT,14620.0,292.4,52.63,0.0,0.0,13794.18,2024-07-24
STL0047,PAY0044,ORD0044,PAYMENT,7956.32,159.13,28.64,0.0,0.0,7768.55,2024-07-08
STL0048,PAY0045,ORD0045,PAYMENT,37525.0,562.88,101.32,0.0,0.0,36860.8,2024-07-05
STL0049,PAY0046,ORD0046,PAYMENT,46010.0,920.2,165.64,0.0,0.0,44924.16,2024-07-18
STL0050,PAY0047,ORD0047,PAYMENT,48059.0,961.18,173.01,0.0,0.0,46924.81,2024-07-04
STL0051,PAY0048,ORD0048,PAYMENT,29954.0,599.08,107.83,0.0,0.0,29247.09,2024-07-24
STL0052,PAY0049,ORD0049,PAYMENT,6434.0,128.68,23.16,0.0,0.0,6282.16,2024-08-01
STL0053,PAY0049,ORD0049,REFUND,0.0,0.0,0.0,6434.0,0.0,-6434.0,2024-08-06
STL0054,PAY0051,ORD0051,PAYMENT,33040.0,660.8,118.94,0.0,0.0,32260.26,2024-07-21
STL0055,PAY0052,ORD0052,PAYMENT,46768.0,935.36,168.36,0.0,0.0,45664.28,2024-07-08
STL0056,PAY0054,ORD0054,PAYMENT,23133.0,462.66,83.28,0.0,0.0,22587.06,2024-07-31
STL0057,PAY0055,ORD0055,PAYMENT,23185.0,463.7,83.47,0.0,0.0,22637.83,2024-07-22
STL0058,PAY0055,ORD0055,REFUND,0.0,0.0,0.0,13866.0,0.0,-13866.0,2024-07-24
STL0059,PAY0056,ORD0056,PAYMENT,25541.0,510.82,91.95,0.0,0.0,24468.26,2024-07-06
STL0060,PAY0057,ORD0057,PAYMENT,18792.0,375.84,67.65,0.0,0.0,18348.51,2024-07-09
STL0061,PAY0058,ORD0058,PAYMENT,35325.0,706.5,127.17,0.0,0.0,34491.33,2024-07-21
STL0062,PAY0059,ORD0059,PAYMENT,33559.0,838.98,151.02,0.0,0.0,32569.0,2024-07-19
STL0063,PAY0060,ORD0060,PAYMENT,13591.0,271.82,48.93,0.0,0.0,13270.25,2024-08-01
STL0064,PAY0061,ORD0061,PAYMENT,27885.0,557.7,100.39,0.0,0.0,27226.91,2024-07-15
STL0065,PAY0062,ORD0062,PAYMENT,10926.0,218.52,39.33,0.0,0.0,10668.15,2024-07-14
STL0066,PAY0062,ORD0062,REFUND,0.0,0.0,0.0,10926.0,0.0,-10926.0,2024-07-17
STL0067,PAY0063,ORD0063,PAYMENT,25518.0,510.36,91.86,0.0,0.0,24915.78,2024-07-10
STL0068,PAY0063,ORD0063,REFUND,0.0,0.0,0.0,25518.0,0.0,-25518.0,2024-07-14
STL0069,PAY0064,ORD0064,PAYMENT,41553.0,831.06,149.59,0.0,0.0,40572.35,2024-07-04
STL0070,PAY0065,ORD0065,PAYMENT,38670.0,773.4,139.21,0.0,0.0,37757.39,2024-07-22
STL0071,PAY0066,ORD0066,PAYMENT,37191.0,1115.73,200.83,0.0,0.0,35874.44,2024-07-21
STL0072,PAY0067,ORD0067,PAYMENT,979.0,19.58,3.52,0.0,0.0,955.9,2024-07-06
STL0073,PAY0068,ORD0068,PAYMENT,1034.48,20.69,3.72,0.0,0.0,1010.07,2024-07-14
STL0074,PAY0069,ORD0069,PAYMENT,6809.0,136.18,24.51,0.0,0.0,6648.31,2024-07-11
STL0075,PAY0070,ORD0070,PAYMENT,44997.0,1349.91,242.98,0.0,0.0,43404.11,2024-07-10
STL0076,PAY0072,ORD0072,PAYMENT,48705.0,974.1,175.34,0.0,0.0,47555.56,2024-07-25
STL0077,PAY0073,ORD0073,PAYMENT,43298.0,865.96,155.87,0.0,0.0,42276.17,2024-07-28
STL0078,PAY0074,ORD0074,PAYMENT,1727.0,34.54,6.22,0.0,0.0,1686.24,2024-07-26
STL0079,PAY0075,ORD0075,PAYMENT,40211.0,804.22,144.76,0.0,0.0,39262.02,2024-07-30
STL0080,PAY0076,ORD0076,PAYMENT,8380.0,167.6,30.17,0.0,0.0,8182.23,2024-07-25
STL0081,PAY0077,ORD0077,PAYMENT,43672.0,873.44,157.22,0.0,0.0,42641.34,2024-07-31
STL0082,PAY0078,ORD0078,PAYMENT,10379.0,207.58,37.36,0.0,0.0,10134.06,2024-08-01
STL0083,PAY0079,ORD0079,PAYMENT,15607.0,312.14,56.19,0.0,0.0,15238.67,2024-07-27
STL0084,PAY0080,ORD0080,PAYMENT,1671.0,33.42,6.02,0.0,0.0,1631.56,2024-07-09
STL0085,PAY0081,ORD0081,PAYMENT,14291.0,285.82,51.45,0.0,0.0,13953.73,2024-07-05
STL0086,PAY0082,ORD0082,PAYMENT,32253.0,645.06,116.11,0.0,0.0,31491.83,2024-07-15
STL0087,PAY0082,ORD0082,PAYMENT,32253.0,645.06,116.11,0.0,0.0,31491.83,2024-07-15
STL0088,PAY0083,ORD0083,PAYMENT,46992.0,939.84,169.17,0.0,0.0,45882.99,2024-07-07
STL0089,PAY0084,ORD0084,PAYMENT,29239.0,584.78,105.26,0.0,0.0,28548.96,2024-07-10
STL0090,PAY0085,ORD0085,PAYMENT,30030.0,600.6,108.11,0.0,0.0,29321.29,2024-07-14
STL0091,PAY0087,ORD0087,PAYMENT,19567.0,391.34,70.44,0.0,0.0,19105.22,2024-07-21
STL0092,PAY0088,ORD0088,PAYMENT,2697.0,53.94,9.71,0.0,0.0,2633.35,2024-07-17
STL0093,PAY0089,ORD0089,PAYMENT,46316.0,926.32,166.74,0.0,0.0,45222.94,2024-07-20
STL0094,PAY0089,ORD0089,REFUND,0.0,0.0,0.0,46316.0,0.0,-46316.0,2024-07-24
STL0095,PAY0090,ORD0090,PAYMENT,3964.0,79.28,14.27,0.0,0.0,3870.45,2024-07-25
STL0096,PAY0091,ORD0091,PAYMENT,16039.0,320.78,57.74,0.0,0.0,15660.48,2024-07-31
STL0097,PAY0092,ORD0092,PAYMENT,45052.0,901.04,162.19,0.0,0.0,43988.77,2024-07-19
STL0098,PAY0092,ORD0092,REFUND,0.0,0.0,0.0,11472.0,0.0,-11472.0,2024-07-23
STL0099,PAY0093,ORD0093,PAYMENT,35012.0,700.24,126.04,0.0,0.0,34185.72,2024-07-21
STL0100,PAY0093,ORD0093,REFUND,0.0,0.0,0.0,5730.0,0.0,-5730.0,2024-07-25
STL0101,PAY0094,ORD0094,PAYMENT,34027.0,680.54,122.5,0.0,0.0,33223.96,2024-08-01
STL0102,PAY0094,ORD0094,PAYMENT,34027.0,680.54,122.5,0.0,0.0,33223.96,2024-08-01
STL0103,PAY0097,ORD0097,PAYMENT,10904.0,218.08,39.25,0.0,0.0,10646.67,2024-07-28
STL0104,PAY0099,ORD0099,PAYMENT,25803.0,516.06,92.89,0.0,0.0,25194.05,2024-07-29
STL0105,PAY0099,ORD0099,REFUND,0.0,0.0,0.0,14207.0,0.0,-14207.0,2024-07-30
STL0106,PAY0100,ORD0100,PAYMENT,14547.0,290.94,52.37,0.0,0.0,14203.69,2024-07-23
